Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Afghanistan,AFG,4.44689083099365,9.29452705383301,14.1336164474487,18.9711647033691,23.8141822814941,28.6696720123291,33.5444183349609,38.4400024414063,42.4,48.2790069580078,42.7,43.2220189082037,69.1,68.0408782958984,89.5,71.5,97.7,97.7,93.4308776855469,97.7,97.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Albania,ALB,99.4308547973633,99.421989440918,99.4045791625977,99.385627746582,99.3721389770508,99.3711242675781,99.3893661499023,99.4284515380859,100,99.5544509887695,99.6442031860352,99.7186431884766,99.9,99.8903121948242,99.95,99.98,99.89,99.89,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Algeria,DZA,98.6400299072266,98.6379699707031,98.6273574829102,98.6152114868164,98.608528137207,98.6143188476563,98.7,98.6852493286133,99.3,98.8248596191406,98.9109039306641,99.0026550292969,98.7646604654583,99.1879272460938,99.2745513916016,99.3561935424805,99.4336929321289,99.5300216674805,99.6377410888672,99.5,99.7187728881836
Access to electricity (% of population),EG.ELC.ACCS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Andorra,AND,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Angola,AGO,24.2388648986816,20,26.320255279541,27.3551368713379,28.3954849243164,29.4483089447021,30.5203876495361,37.5,38.49,33.8469772338867,34.980052947998,34.6,37.2594909667969,38.3981781005859,32,42,41.7850341796875,42.9062423706055,45.29,45.6338806152344,46.9554443359375
Access to electricity (% of population),EG.ELC.ACCS.ZS,Antigua and Barbuda,ATG,97.6731262207031,97.7458038330078,100,97.8725204467773,97.9405746459961,92.2,100,100,100,98.5305938720703,98.6913757324219,94.5520140336941,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Argentina,ARG,95.6804733276367,95.5110634674458,96.0960006713867,96.2979507446289,96.50537109375,96.7252655029297,96.9644088745117,97.2243957519531,97.5016021728516,97.7922058105469,98.82,99.0342864990234,99.143798828125,99.285774230957,100,99.6890335083008,99.8997421264648,100,99.9937362670898,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Armenia,ARM,98.9,100,98,99.1069107055664,99.0944366455078,99.8,99.1136932373047,99.1537857055664,99.2111129760742,99.2818145751953,99.8,99.4946136474609,99.5358657836914,99.42,99.71,100,99.8,99.7,99.9,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Aruba,ABW,91.6603980031457,100,100,100,100,100,100,100,100,100,93.3562921509542,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Australia,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Austria,AUT,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Azerbaijan,AZE,98.9082224496759,98.5979995727539,100,98.847785949707,98.9773788452148,99.1194381713867,99.5,99.4629211425781,99.6623001098633,99.8750686645508,99.9476623535156,99.9,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Bahamas, The",BHS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bahrain,BHR,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bangladesh,BGD,32,35.0324668884277,37.7541275024414,40.4742469787598,40.6,44.23,50.5251024590164,46.5,54.2687454223633,57.0775146484375,55.26,59.6,65.5457458496094,61.5,62.4,74.0024719238281,75.92,88,86.915283203125,92.2,96.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Barbados,BRB,100,99.9990615844727,100,99.9664993286133,99.9238967895508,99.8696060180664,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belarus,BLR,88.9983749389648,89.5068969726563,90.0068664550781,90.5053024291992,91.0092010498047,91.5255737304688,92.0612030029297,92.61767578125,93.1913681030273,93.778450012207,94.3750762939453,94.977409362793,95.5816192626953,96.1838531494141,96.7810592651367,97.3732833862305,98.0430068969727,98.7420120239258,99.348762512207,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belgium,BEL,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belize,BLZ,79,80.2330169677734,81.0378723144531,81.8411865234375,82.6499633789063,83.4712219238281,90.9885308574549,85.1730804443359,86.0516510009766,86.9436111450195,89.9172243747798,91.6817359855335,90.9220428466797,91.1333618164063,91.4706268310547,91.8,93.2606887817383,94.1503295898438,91.72,92.72,96.8076248168945
Access to electricity (% of population),EG.ELC.ACCS.ZS,Benin,BEN,21.534330368042,21.9,23.3589420318604,24.2654361724854,25.177396774292,26.1018295288086,27.9,28.0100479125977,28.9918003082275,29.9869403839111,34.2,36.9,38.4,34.6536293029785,34.1,29.62,37.0262756347656,34.5,39.0094223022461,39.9980926513672,40.9859313964844
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bermuda,BMU,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bhutan,BTN,31.15,40.2442779541016,44.1191864013672,41.1,51.8713912963867,59.8081116441343,59.6732635498047,71.8,67.5532989501953,71.5153121948242,73.2829108748978,81.7811584472656,91.5,87.4204635620117,91.3926010131836,95.3597640991211,99.3227767944336,97.7,99.9576721191406,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bolivia,BOL,69.963045,69.258539,63.996855,72.3,75.865852355957,68.288209,76.211281,80.156567,84.674991,86.765597,87.9524154663086,88.335943,90.387375,89.505686,90.038729,91.522822,91.8,91.8,92.8,95.08,97.2218170166016
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bosnia and Herzegovina,BIH,98.9991836547852,99.4,98.5,99.0415725708008,99.0572891235352,99.0854873657227,99.3872769868445,99.7,99.2867431640625,99.3856430053711,99.4940872192383,99.705780546902,99.7242736816406,99.5,99.922607421875,99.7,99.996711730957,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Botswana,BWA,26.5161628723145,24.8,27,33.0716171264648,35.2583618164063,37.457576751709,39.6760482788086,41.9153594970703,44.5,43.36,52.0336112976074,53.24,55.9656753540039,57.972297668457,60.0222434997559,62.13,64.2029647827148,67.4,68.2547378540039,70.095085144043,71.8291244506836
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brazil,BRA,94.4314117431641,96.016528,96.652996,96.980098,96.765107,97.093513,97.594314,98.125382,98.526625,98.856938,98.6,99.328691,99.519494,99.575151,99.650247,99.710902,99.7,99.8,99.7,99.8,99.7027130126953
Access to electricity (% of population),EG.ELC.ACCS.ZS,British Virgin Islands,VGB,97.1457672119141,97.248420715332,97.342529296875,97.4350967407227,97.5331268310547,97.6436309814453,97.7733993530273,97.9239959716797,98.0918197631836,98.2730331420898,98.3,98.6602630615234,98.8586044311523,99.0549774169922,99.2463150024414,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brunei Darussalam,BRN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bulgaria,BGR,88.0919570922852,88.6047668457031,89.1090240478516,89.6117477416992,90.1199417114258,90.6406097412109,91.1805267333984,91.7412872314453,92.3192672729492,92.91064453125,93.5115585327148,94.1181869506836,94.7266845703125,95.3332061767578,95.9347076416016,96.5846862792969,97.3378295898438,98.0648651123047,98.6996383666992,99.1950073242188,99.7
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burkina Faso,BFA,9.10153102874756,9.51381778717041,9.91755771636963,11.4,10.7274255752563,11.1475677490234,11.5869636535644,12.0471992492676,12.5246601104736,12.63,13.1,14.7755994796753,15.0658206939697,15.3885135650635,19.2,16.1532001495361,16.5673961639404,17.0133209228516,14.4,17.6,18.4672794342041
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burundi,BDI,2.53827786445618,2.83210754394531,3.11739039421082,3.40113353729248,3.69034385681152,3.20731707317073,2.66,4.65474510192871,4.8,5.38613891601563,5.3,6.15572309494019,6.5,6.9,7,7.89011478424072,8.47799873352051,9.3,9.50929260253906,9.83940029144287,9.1
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cabo Verde,CPV,58.5601921081543,60.2635307312012,58.6,63.6515731811523,65.3502883911133,67,68.7919311523438,70.5432205200195,72.3117294311523,74.0936279296875,81.1,82.2631378173828,83.2484588623047,84.266242980957,85.3273620605469,86.4211273193359,87.5304183959961,88.6136093139648,90.1969299316406,91.4,93.746955871582
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cambodia,KHM,16.6,9.52857398986816,13.1091279983521,19.3,14.2,20.5,27.4857883453369,20.2,26.4,25.6,31.1,37.4,42.3,50.9,56.1,62.720645904541,68.7621994018555,89.07,80.7008285522461,84,86.4
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cameroon,CMR,41,46.2,44.0363922119141,45.0900268554688,47.1,47.2206954956055,49,48.2,50.5520820617676,51.6943626403809,52.8461875915527,53.7,55.1631278991699,56.3205604553223,56.8,58.6203880310059,59.7636642456055,60.903621673584,62.2,63.1768951416016,64.3118743896484
Access to electricity (% of population),EG.ELC.ACCS.ZS,Canada,CAN,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cayman Islands,CYM,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central African Republic,CAF,6,5.70644998550415,6.13295412063599,6.55791854858398,6.98834991455078,7.43125534057617,7.80516932525804,8.37641525268555,7.48,9.39025115966797,9.8,10.4422779083252,10.9730157852173,11.5017824172974,12.0367059707642,12.7129907608032,13.404803276062,14.0705080032349,14.6439552307129,14.3,15.4057130813599
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chad,TCD,3.11045718193054,3.44221782684326,3.76543164253235,4.0871057510376,3.5,4.75386190414429,5.11273193359375,5.49244070053101,5.88937520980835,6.29969644546509,6.4,8.98,7.79170989990234,8.09024047851563,8.43209648132324,7.7,9.24529838562012,10.9,10.0588064193726,8.4,10.8656768798828
Access to electricity (% of population),EG.ELC.ACCS.ZS,Channel Islands,CHI,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chile,CHL,97.938687,97.1343612670898,97.2666854858398,98.782325,97.5337295532227,97.6824645996094,99.368108,98.0392684936523,98.2453155517578,99.593662,99.5258941650391,99.588193,100,99.6,100,99.714844,100,99.7,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,China,CHN,96.7450561523438,96.9853134155273,97.2170181274414,97.4471893310547,97.6828308105469,97.9309387207031,98.1983032226563,98.4865036010742,98.7919387817383,99.1107559204102,99.7,99.88720703125,99.9474334716797,99.9929504394531,100,100,100,100,100,100,100
